blackmax,Total events,Hadronizer fragment name,Generator,Cross Section,Datacard,LHE
BlackHole_BH2_MD3000_MBH6000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,7.96E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH6000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH6000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH6000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.44E+00,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH6000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH6000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH7000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.23E-02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH7000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH7000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH7000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.21E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH7000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH7000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH7000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.16E-01,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH7000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH7000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH8000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,4.99E-03,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH8000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH8000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH8000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.38E-02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH8000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH8000_n4/lhouches.lhe
BlackHole_BH2_MD3000_MBH8000_n6_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,2.44E-02,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH8000_n6/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH8000_n6/lhouches.lhe
BlackHole_BH2_MD3000_MBH9000_n2_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,3.84E-04,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH9000_n2/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH9000_n2/lhouches.lhe
BlackHole_BH2_MD3000_MBH9000_n4_13TeV_TuneCUETP8M1-charybdis,10000,Hadronizer_TuneCUETP8M1_13TeV_generic_LHE_pythia8_cff.py,charybdis2,1.03E-03,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH9000_n4/charybdis2.init,/afs/cern.ch/user/k/kakwok/work/public/Blackhole/LHE/charybdis/BH2_LHE/BH2_CH_MD3000_MBH9000_n4/lhouches.lhe
